Patient_ID,UBE2T,BIRC5,NUF2,CDC6,CCNB1,TYMS,MYBL2,CEP55,MELK,NDC80,RRM2,UBE2C,CENPF,PTTG1,EXO1,ORC6,ANLN,CCNE1,CDC20,MKI67,KIF2C,ACTR3B,MYC,EGFR,KRT5,PHGDH,CDH3,MIA,KRT17,FOXC1,SFRP1,KRT14,ESR1,SLC39A6,BAG1,MAPT,PGR,CXXC5,MLPH,BCL2,MDM2,NAT1,FOXA1,BLVRA,MMP11,GPR160,FGFR4,GRB7,TMEM45B,ERBB2
X01BR031,0.547,-0.1,0.606,-0.101,-0.114,1.171,-0.101,0.606,0.749,1.171,0.0,-0.101,0.385,-0.114,0.385,0.062,-0.114,-0.125,1.482,0.585,1.714,1.583,0.683,-0.114,0.299,-0.083,0.213,-0.125,-0.101,0.553,0.585,-0.101,-0.165,-0.216,0.749,-0.101,0.747,-0.114,0.051,-0.216,0.299,0.639,-0.126,-0.114,-0.032,0.634,-0.114,-0.101,0.747,-0.101
X01BR040,0.39,-0.238,0.39,-0.19,-0.232,-0.381,0.417,0.041,-0.052,-0.381,0.544,0.417,0.39,-0.081,0.39,0.065,0.059,-0.049,1.093,0.073,1.093,0.467,0.615,-0.33,-0.226,0.725,0.199,0.242,-0.19,1.141,0.519,-0.19,-0.289,-0.336,-0.052,-0.238,-0.048,0.035,0.032,0.12,0.079,0.509,-0.233,0.059,-0.212,-0.038,-0.081,-0.19,-0.105,-0.19
X01BR042,0.481,0.918,0.449,-0.139,0.056,0.657,-0.14,-0.137,0.892,0.657,0.443,-0.14,0.481,-0.059,0.066,-0.181,0.563,0.355,1.11,-0.011,1.11,0.603,1.676,-0.105,-0.17,1.245,-0.095,-0.027,-0.139,-0.2,0.694,-0.139,-0.142,-0.045,-0.108,0.288,-0.157,-0.172,0.403,-0.348,-0.03,-0.315,0.717,-0.105,-0.084,0.963,-0.059,-0.139,-0.144,-0.139
X01BR043,0.328,-0.04,0.632,-0.147,-0.253,1.533,0.277,-0.295,0.098,1.533,0.305,0.277,0.328,-0.282,0.0,-0.017,0.338,-0.2,0.028,-0.212,0.028,-0.14,0.836,0.523,0.297,0.17,-0.017,0.239,-0.147,-0.325,-0.374,-0.147,-0.131,0.504,-0.264,-0.147,-0.158,-0.282,-0.16,-0.334,0.297,-0.189,0.42,0.338,0.111,0.377,-0.282,-0.147,-0.259,-0.147
X03BR006,0.884,0.04,0.884,0.062,-0.567,-0.137,1.123,-0.076,1.204,-0.137,0.001,1.123,0.884,-0.084,1.48,-0.001,0.259,1.885,0.286,-0.052,0.286,0.402,1.95,0.414,-0.021,0.017,0.249,1.918,0.734,0.87,-0.085,0.734,-0.063,-0.152,0.048,-0.033,-0.037,0.0,-0.061,-0.129,-0.021,-0.085,-0.646,0.259,0.062,1.031,-0.01,0.604,-0.672,0.604
X03BR011,0.942,-0.044,0.942,-0.044,0.015,-0.759,0.024,0.0,-0.31,-0.759,-0.303,0.024,0.942,0.045,0.942,-0.315,0.042,-0.097,-0.27,0.0,-0.27,0.042,-0.302,0.042,0.031,-0.27,-0.658,0.008,-0.044,0.008,-0.302,-0.044,0.003,-0.691,-0.31,-0.044,-0.686,0.045,-0.386,-0.702,0.007,-0.302,0.061,0.042,0.022,-0.282,0.045,-0.044,-0.686,-0.044
X05BR029,2.132,-0.625,0.569,0.085,-0.713,-0.676,-0.702,-0.04,-0.033,-0.676,0.086,-0.702,0.052,-0.752,0.626,-0.696,0.043,0.011,0.006,-0.554,0.006,0.183,1.468,-0.14,-0.014,0.006,-0.738,0.68,0.035,0.7,-0.737,0.035,0.542,0.77,-0.033,0.035,-0.026,-0.266,-0.728,0.696,-0.014,-0.641,-0.657,0.032,0.657,0.031,0.663,0.085,0.014,0.085
X05BR042,0.39,-0.23,0.39,-0.325,-0.297,0.504,0.425,-0.331,0.329,0.906,0.236,0.425,0.39,-0.304,0.39,-0.27,0.425,2.341,0.018,-0.239,0.407,0.205,0.778,0.266,-0.276,0.0,0.415,-0.233,-0.325,-0.131,-0.318,-0.325,0.259,0.116,0.329,-0.23,-0.244,-0.254,-0.249,0.136,-0.276,-0.329,-0.269,0.032,-0.088,1.869,0.152,0.5,-0.265,0.5
X05BR043,0.362,-0.01,1.169,0.61,-0.286,-0.256,-0.279,-0.468,1.053,-0.256,0.293,-0.279,0.665,-0.153,1.473,-0.305,-0.076,0.144,0.195,-0.167,0.258,0.317,1.299,-0.109,-0.241,0.352,-0.043,-0.238,0.083,0.842,-0.436,0.083,0.726,-0.357,0.13,0.192,-0.291,-0.18,0.072,-0.357,-0.248,0.228,0.108,-0.296,0.23,0.397,-0.153,0.61,-0.19,0.61
X05BR044,0.11,0.297,0.11,-0.53,0.004,-0.589,-0.044,-0.207,-0.301,-0.589,-0.048,-0.044,0.11,0.466,-0.253,-0.104,0.624,-0.206,-0.038,0.028,-0.038,-0.344,0.151,0.28,0.013,0.069,-0.104,-0.128,-0.53,0.055,-0.146,-0.53,-0.196,-0.544,-0.301,-0.523,0.031,0.302,0.029,-0.383,0.013,-0.146,-0.211,0.28,-0.073,0.11,0.466,-0.53,0.092,-0.53
X05BR045,2.093,0.0,0.715,-0.717,-0.084,0.789,0.18,0.028,-0.606,0.789,0.097,0.18,0.709,0.073,0.408,-0.678,0.105,-0.691,2.557,0.028,1.578,-0.661,0.708,0.004,-0.037,1.247,-0.678,-0.678,-0.717,-0.037,0.594,-0.717,0.288,1.093,-0.671,-0.981,0.102,0.073,2.003,1.179,-0.099,0.052,-0.717,0.105,-0.654,1.357,0.073,-0.717,0.082,-0.717
X06BR003,1.117,0.395,1.117,3.423,-0.018,-0.414,0.098,-0.085,0.135,-0.414,-0.107,0.098,1.117,-0.029,1.117,-0.125,0.148,-0.12,-0.075,-0.085,-0.075,0.0,0.763,-0.01,-0.037,-0.001,-0.125,0.133,0.315,-0.091,0.763,0.315,0.0,-0.414,0.135,0.512,0.269,-0.029,0.333,-0.414,-0.037,0.763,0.105,0.148,0.088,0.0,-0.029,3.423,0.269,3.423
X06BR006,0.164,-0.097,0.164,-0.13,0.088,-0.036,0.021,0.078,-0.075,-0.036,-0.049,0.021,0.164,0.088,0.164,-0.169,0.082,0.116,0.022,0.078,0.022,0.116,0.329,0.082,0.039,0.039,-0.267,0.048,-0.211,0.001,-0.138,-0.211,-0.171,-0.036,-0.075,-0.211,0.032,0.088,-0.083,-0.036,0.039,-0.138,-0.037,0.082,0.032,-0.03,0.088,3.498,0.032,3.498
X11BR003,0.76,-0.09,0.76,-0.158,-0.499,-0.07,-0.02,-0.03,-0.001,-0.07,0.02,-0.02,0.76,0.031,0.76,-0.099,0.024,-0.255,-0.035,-0.03,-0.035,0.067,0.503,0.024,0.046,0.115,-0.099,-0.202,-0.158,0.297,0.311,-0.158,0.412,-0.07,-0.001,-0.158,0.033,0.031,0.041,-0.07,0.046,0.311,-0.002,0.024,0.071,0.01,0.031,-0.158,0.033,-0.158
X11BR012,1.285,2.544,-0.017,-0.717,-0.311,0.063,0.127,0.154,0.183,0.063,-0.038,0.127,-0.387,0.158,-0.351,-0.025,-0.264,-0.047,-0.477,0.154,-0.422,-0.03,-0.124,-0.264,0.23,0.535,-0.334,-0.047,-0.717,0.136,3.657,-0.717,0.228,0.177,0.183,-0.784,-0.221,0.148,0.082,0.177,0.118,-0.653,-0.486,-0.264,0.289,0.252,0.158,0.038,-0.181,0.038
X11BR013,1.326,-0.048,1.326,-0.048,0.0,-0.107,0.717,-0.029,0.013,-0.107,0.011,0.717,1.326,0.0,1.125,-0.728,0.062,-0.04,0.459,-0.029,0.065,0.066,1.245,-0.032,0.004,0.027,-0.621,-0.04,-0.048,0.576,1.245,-0.048,-0.028,-0.107,0.013,-0.048,-0.709,0.0,-0.017,-0.107,0.004,-0.015,-0.228,-0.032,0.031,0.053,0.0,-0.048,-0.709,-0.048
X11BR015,0.083,-0.043,0.083,-0.043,-0.084,-0.118,0.051,0.049,0.061,-0.118,-0.326,0.051,0.083,-0.097,0.083,-0.955,0.069,-0.077,0.081,0.049,0.081,0.148,1.813,-0.311,0.02,-0.015,-0.84,-0.077,-0.043,0.013,-0.894,-0.043,-0.787,0.002,0.061,-0.043,-0.8,-0.097,-0.241,0.002,0.02,-0.797,0.046,0.167,0.0,0.094,-0.097,-0.043,-0.75,-0.043
X11BR016,0.755,0.079,0.457,-0.474,-0.428,-0.047,0.029,0.007,0.075,-0.047,0.006,0.029,0.7,-0.412,0.135,-0.108,0.052,-0.073,0.066,0.007,0.066,0.721,0.266,0.052,0.094,0.231,-0.098,-0.073,-0.474,0.018,0.034,-0.474,0.278,0.207,0.075,-0.474,-0.399,-0.412,-0.025,0.207,-0.361,-0.363,-0.482,0.052,0.003,0.088,-0.412,-0.474,-0.399,-0.474
