Patient_ID,UBE2T,BIRC5,NUF2,CDC6,CCNB1,TYMS,MYBL2,CEP55,MELK,NDC80,RRM2,UBE2C,CENPF,PTTG1,EXO1,ORC6,ANLN,CCNE1,CDC20,MKI67,KIF2C,ACTR3B,MYC,EGFR,KRT5,PHGDH,CDH3,MIA,KRT17,FOXC1,SFRP1,KRT14,ESR1,SLC39A6,BAG1,MAPT,PGR,CXXC5,MLPH,BCL2,MDM2,NAT1,FOXA1,BLVRA,MMP11,GPR160,FGFR4,GRB7,TMEM45B,ERBB2
X11BR073,0.378,0.198,-0.003,-0.254,-0.219,-0.004,-0.015,0.072,0.198,-0.004,0.036,-0.015,0.378,0.032,0.378,-0.202,-0.191,-0.14,0.059,0.13,0.059,0.288,1.029,-0.191,0.117,-0.003,-0.228,-0.089,-0.254,-0.285,-0.177,-0.254,0.144,-0.004,-0.172,-0.254,-0.181,0.032,-0.177,-0.004,0.12,-0.356,-0.18,-0.191,0.054,0.098,0.032,-0.254,-0.181,-0.254
X11BR074,0.828,-0.105,0.828,-0.105,-0.004,-0.08,0.068,-0.047,0.081,-0.08,-0.015,0.068,0.904,-0.004,0.656,-0.513,0.008,-0.39,0.015,-0.047,0.015,0.056,0.12,0.008,0.018,-0.126,-0.513,-0.075,-0.105,-0.153,-0.061,-0.105,0.013,-0.08,0.081,-0.105,0.028,-0.004,0.062,-0.08,0.018,-0.061,0.038,0.008,0.078,0.056,-0.004,-0.105,0.028,-0.105
X11BR080,0.753,-0.04,0.922,0.001,-0.044,0.062,0.272,0.362,0.046,0.062,-0.068,0.272,0.753,-0.114,0.608,-0.22,0.549,0.222,-0.151,0.362,-0.151,0.27,1.167,0.274,-0.121,0.654,-0.22,0.247,-0.04,0.065,0.277,-0.04,0.063,0.154,-0.151,-0.04,0.001,-0.114,0.082,0.154,0.027,0.277,-0.33,0.274,-0.163,0.378,-0.114,0.001,-0.134,0.001
X13BR009,1.771,0.252,1.771,-0.032,0.193,-0.163,0.42,-0.053,-0.231,-0.163,-0.38,0.42,1.975,0.107,0.815,0.309,0.0,-0.552,0.072,0.004,0.072,-0.332,0.938,0.0,0.058,0.346,-0.398,-0.049,-0.214,-0.088,0.126,-0.214,0.289,0.028,-0.258,-0.143,-0.322,0.107,-0.369,0.028,0.066,0.022,-0.379,0.0,-0.409,0.878,0.107,-0.032,0.102,-0.032
X14BR005,1.162,-0.047,1.22,-0.084,-0.08,-0.127,0.021,0.0,-0.023,-0.127,0.01,0.021,1.162,0.018,0.9,-0.778,-0.003,-0.102,-0.021,0.0,-0.021,-0.004,1.078,-0.003,0.028,0.028,-0.778,-0.004,-0.084,-0.03,0.261,-0.084,0.018,-0.023,-0.023,-0.084,0.045,0.018,0.027,-0.75,0.028,-0.75,0.082,-0.003,-0.008,-0.033,-0.747,-0.084,0.107,-0.084
X14BR008,0.403,-0.058,0.504,-0.091,0.0,-0.047,0.021,-0.036,-0.01,-0.047,-0.007,0.021,0.403,0.0,0.333,-0.384,0.049,-0.153,-0.029,0.488,-0.029,0.238,0.013,0.049,-0.011,-0.029,-0.384,-0.097,-0.091,0.043,0.025,-0.091,-0.005,-0.047,-0.01,-0.091,0.025,0.0,-0.007,0.007,-0.011,0.025,-0.011,0.049,-0.167,0.02,0.0,-0.091,0.025,-0.091
X14BR014,0.024,0.018,-0.006,0.01,0.102,-0.036,0.192,-0.087,-0.048,-0.036,-0.044,0.192,0.024,0.102,0.024,0.726,-0.025,-0.021,-0.006,-0.087,-0.006,0.048,1.387,-0.041,0.024,-0.006,-0.345,0.014,0.01,-0.118,1.304,0.01,-0.007,-0.036,0.039,0.01,0.029,0.102,-0.002,-0.036,0.002,-0.411,-0.143,-0.041,-0.203,-0.008,0.102,0.01,0.029,0.01
X18BR004,0.656,-0.03,0.656,-0.034,-0.001,-0.059,0.013,0.001,-0.649,-0.059,-0.278,0.013,0.656,0.034,0.656,-0.068,0.059,-0.062,-0.676,0.001,-0.676,0.104,-0.697,0.059,0.029,-0.676,-0.068,0.065,-0.034,-0.041,0.032,-0.034,0.021,-0.059,-0.019,-0.034,0.062,0.034,-0.277,-0.003,0.0,0.032,0.022,0.059,0.071,0.061,0.034,-0.034,0.062,-0.034
X18BR006,0.643,1.47,0.643,-0.448,-0.081,-0.473,0.344,-0.006,-0.108,-0.473,-0.47,0.344,0.681,-0.097,0.342,0.004,0.017,0.126,-0.081,-0.008,-0.081,0.235,1.019,0.092,0.218,0.147,0.025,0.215,-0.448,-0.089,0.071,-0.448,0.619,-0.148,-0.318,-0.448,-0.506,-0.097,0.25,0.665,0.218,-0.8,0.387,0.092,0.039,0.202,-0.097,-0.448,-0.395,-0.448
X18BR007,0.241,0.011,0.241,-0.023,-0.059,-0.1,0.275,-0.055,0.269,-0.1,0.063,0.275,0.241,-0.059,0.241,-0.26,-0.032,-0.077,0.241,-0.055,0.241,-0.4,0.497,-0.036,0.189,0.241,-0.478,0.011,-0.023,0.505,0.073,-0.023,0.116,-0.552,-0.284,-0.023,-0.047,-0.059,-0.144,-0.552,0.189,-0.162,-0.249,-0.032,0.075,0.44,-0.059,-0.023,0.175,-0.023
X18BR010,0.078,-0.479,0.078,-0.015,0.034,-0.072,0.364,0.021,0.049,-0.072,-0.231,0.364,0.078,0.034,0.078,0.431,-0.003,-0.285,0.145,0.045,0.145,0.18,1.119,-0.003,0.011,0.0,-0.414,-0.224,-0.399,-0.278,-0.796,-0.399,-0.228,-0.072,0.049,-0.014,0.121,0.034,-0.133,-0.072,0.011,-0.705,-0.207,-0.003,0.069,0.078,0.034,-0.015,0.121,-0.015
X18BR019,0.65,-0.1,0.65,-0.114,-0.547,-0.068,-0.011,-0.001,-0.008,-0.068,-0.069,-0.011,0.017,0.031,0.017,-0.003,0.127,-0.15,0.027,-0.001,0.027,0.189,-0.056,0.304,0.049,0.0,-0.003,-0.15,-0.114,-0.122,-0.045,-0.114,0.024,-0.068,-0.008,-0.114,0.061,0.031,0.045,-0.068,0.049,-0.045,-0.059,0.011,-0.006,0.021,0.031,-0.114,0.061,-0.114
X20BR001,0.0,0.031,0.0,0.001,0.001,-0.076,0.036,-0.028,-0.006,-0.076,-0.008,0.036,0.0,0.001,0.0,0.042,0.011,-0.27,0.0,-0.028,0.0,0.085,1.888,0.011,0.039,0.0,0.042,0.035,-0.059,-0.033,0.081,-0.059,-0.037,-0.076,-0.006,-0.059,0.069,0.001,0.0,-0.076,0.039,-0.079,0.008,0.011,0.088,0.029,0.001,0.001,0.045,0.001
X20BR002,0.509,0.192,0.144,0.21,-0.258,1.036,0.439,-0.314,-0.241,1.036,0.101,0.439,0.069,-0.258,1.112,2.225,0.082,0.136,0.244,-0.314,0.244,0.455,3.657,3.614,-0.292,0.244,-0.227,0.038,0.21,0.532,0.749,0.21,-0.099,0.84,-0.241,0.21,0.141,-0.258,-0.038,-0.124,0.359,-0.319,-0.248,0.082,-0.037,0.111,-0.258,0.21,0.141,0.21
X21BR002,0.405,-0.014,0.405,-0.014,0.36,-0.101,0.024,-0.029,0.0,-0.101,-0.014,0.024,0.405,0.407,0.224,0.413,0.01,0.013,0.051,-0.029,0.051,-0.108,0.076,0.01,0.032,-0.172,-0.266,-0.026,-0.014,-0.019,-0.055,-0.014,-0.068,-0.101,0.0,-0.014,0.042,0.407,-0.038,-0.08,0.032,-0.409,0.034,0.01,0.097,0.452,0.407,-0.014,0.042,-0.014
X21BR010,0.794,0.189,0.794,0.206,0.248,-0.365,-0.003,-0.047,-0.035,-0.365,-0.032,-0.003,0.794,0.248,0.794,0.167,0.256,0.147,0.252,-0.047,0.252,0.298,-0.002,0.256,0.068,0.252,-0.268,0.231,0.206,-0.11,-0.002,0.206,0.0,-0.365,-0.035,0.206,-0.267,0.248,-0.02,-0.365,0.024,-0.002,-0.046,0.256,-0.035,0.303,0.248,0.206,-0.267,0.206
X22BR005,0.667,0.097,0.046,0.542,0.091,-0.316,0.16,-0.003,0.293,-0.316,-0.059,0.16,1.004,0.091,0.743,-0.307,-0.08,-0.099,0.387,-0.003,0.387,-0.028,0.126,0.011,0.127,-0.19,-0.225,-0.099,0.542,0.19,0.126,0.542,0.151,-0.316,-0.227,0.097,-0.222,0.091,0.139,-0.316,0.127,0.126,0.052,-0.08,-0.108,0.136,0.091,3.657,-0.222,3.657
X22BR006,0.702,-0.089,0.765,-0.089,-0.011,-0.087,-0.027,-0.021,-0.014,-0.087,-0.048,-0.027,0.702,-0.011,0.702,-0.389,0.397,-0.136,-0.044,-0.021,-0.044,0.301,0.405,0.369,0.011,-0.018,-0.463,-0.015,-0.089,-0.01,0.33,-0.089,0.0,-0.038,-0.014,-0.089,0.044,-0.011,0.027,-0.012,0.011,0.33,-0.029,0.166,-0.017,0.379,-0.011,-0.089,-0.04,-0.089
